brand;name;id;salePriceU;priceU;sale;rating;feedbacks;supplier;supplierRating;link
Polaris;Чайник электрический PWK 1211CGL Water Way Pro стеклянный;111356281;1777.0;8065.0;77;4.9;412;Официальный магазин Polaris;4.7;https://www.wildberries.ru/catalog/111356281/detail.aspx
BAUHAUS;Чайник электрический стеклянный с подсветкой;187820441;3538.0;8100.0;56;4.8;1923;NUTRITION DADDY;4.7;https://www.wildberries.ru/catalog/187820441/detail.aspx
GALAXY;Чайник электрический GL0346;202322098;4672.0;5990.0;22;4.2;4;Официальный магазин GALAXY LINE     СТАВР   KOLNER;4.7;https://www.wildberries.ru/catalog/202322098/detail.aspx
IRIT;Чайник заварочный;112026006;291.0;449.0;35;4.7;2211;ТЕХНОСЕТЬ;4.6;https://www.wildberries.ru/catalog/112026006/detail.aspx
HITT;Чайник Starlight со свистком 3 литра;103734045;1575.0;4425.0;64;4.5;1263;Комфилюкс. Всё для Вашего дома!;4.7;https://www.wildberries.ru/catalog/103734045/detail.aspx
КУХАР;Чайник для плиты 3 л из нержавеющей стали со свистком;11993628;2897.0;8799.0;67;4.8;375;LOVKIS home;4.7;https://www.wildberries.ru/catalog/11993628/detail.aspx
Polaris;Чайник электрический PWK 1753CGL с подсветкой 1,5 литра;21302563;1519.0;6248.0;75;4.8;15766;Официальный магазин (POLARIS);4.7;https://www.wildberries.ru/catalog/21302563/detail.aspx
Blackton;Чайник электрический Bt KT1701P 1.7л;167595996;810.0;1484.0;45;4.8;4296;Официальный магазин BQ и Blackton;4.6;https://www.wildberries.ru/catalog/167595996/detail.aspx
CnGlass;Заварочный чайник бочонок с бамбуковой крышкой 900 мл;8781920;448.0;1400.0;68;4.9;16087;CnGlass;4.9;https://www.wildberries.ru/catalog/8781920/detail.aspx
Амет;Чайник 3 л со свистком;200283884;3225.0;3624.0;11;4.2;6;Bazzar;4.8;https://www.wildberries.ru/catalog/200283884/detail.aspx
Envitec;Чайник электрический из нержавеющей стали 1,8 л;167338204;2097.0;6560.0;68;4.8;1458;EnviTec;4.7;https://www.wildberries.ru/catalog/167338204/detail.aspx
BEREKЕ;Чайник электрический стеклянный;177739251;953.0;4700.0;79;4.4;1554;BEREKE OFFICIAL;4.5;https://www.wildberries.ru/catalog/177739251/detail.aspx
MARTA;Чайник электрический стеклянный с подсветкой 1,7 л;188084940;1252.0;5180.0;75;4.8;57;Made for living;4.6;https://www.wildberries.ru/catalog/188084940/detail.aspx
Kelli;Чайник электрический керамический 1.7 л инд. с подсветкой;204241739;2045.0;5980.0;65;5.0;4;GranShop;4.6;https://www.wildberries.ru/catalog/204241739/detail.aspx
LUMME;Электрочайник стеклянный с подсветкой 2 л;168194027;1102.0;4560.0;75;4.6;2832;ФМ Валерия;4.6;https://www.wildberries.ru/catalog/168194027/detail.aspx
BAUHAUS;Умный чайник;188110381;4751.0;8015.0;40;4.8;411;Товары для дома;4.8;https://www.wildberries.ru/catalog/188110381/detail.aspx
LUMME;Чайник электрический стеклянный 2 л;170218109;1034.0;4280.0;75;4.2;4180;ФМ Валерия;4.6;https://www.wildberries.ru/catalog/170218109/detail.aspx
CnGlass;Заварочный чайник бочонок с бамбуковой крышкой 600 мл;15843156;373.0;1400.0;73;4.9;16087;CnGlass;4.9;https://www.wildberries.ru/catalog/15843156/detail.aspx
Marta;Чайник электрический стеклянный с подсветкой 1.7 л;88924926;1714.0;6660.0;74;4.6;2378;ФМ Валерия;4.6;https://www.wildberries.ru/catalog/88924926/detail.aspx
Envitec;Чайник электрический из нержавеющей стали 1,8 л;177978178;2410.0;3768.0;36;4.8;1458;EnviTec;4.7;https://www.wildberries.ru/catalog/177978178/detail.aspx
OBERHOF;Электрический чайник объем 1.8 л из закаленного стекла;192488920;3119.0;5700.0;45;5.0;3;OBERHOF;4.7;https://www.wildberries.ru/catalog/192488920/detail.aspx
STING RAY;Чайник электрический стеклянный, с подсветкой 1,7 л;170235883;1303.0;5390.0;75;4.6;2832;ФМ Валерия;4.6;https://www.wildberries.ru/catalog/170235883/detail.aspx
BEREKЕ;Чайник электрический термос с двойными стенками и подставкой;193976087;1577.0;5780.0;72;4.8;72;BEREKE OFFICIAL;4.5;https://www.wildberries.ru/catalog/193976087/detail.aspx
BAUHAUS;Электрический чайник стеклянный с подсветкой;173483683;2552.0;5195.0;50;4.9;2442;Товары для дома;4.8;https://www.wildberries.ru/catalog/173483683/detail.aspx
LUMME;Чайник электрический стеклянный с подсветкой 1.8 л;162531759;1252.0;5180.0;75;4.4;915;ФМ Валерия;4.6;https://www.wildberries.ru/catalog/162531759/detail.aspx
ZEN store;Чайник электрический стеклянный с подсветкой 2л;196866365;1435.0;4970.0;71;4.2;23;ZEN store;4.7;https://www.wildberries.ru/catalog/196866365/detail.aspx
BEREKЕ;Электрический Чайник;181361187;789.0;4600.0;82;4.5;2612;BEREKE OFFICIAL;4.5;https://www.wildberries.ru/catalog/181361187/detail.aspx
Merry Berry;Чайник заварочный;76849998;445.0;926.0;51;4.6;13464;Merry Berry;4.7;https://www.wildberries.ru/catalog/76849998/detail.aspx
LUMME;Чайник электрический стеклянный 2 л;170390237;1102.0;4560.0;75;4.5;759;ГРАНИТ;4.6;https://www.wildberries.ru/catalog/170390237/detail.aspx
Alisov Store;Чайник электрический маленький;205881177;1087.0;3180.0;65;4.9;100;Alisov Store;4.5;https://www.wildberries.ru/catalog/205881177/detail.aspx
Gelberk;Чайник электрический стеклянный с подсветкой 5цветов 2л;38650307;2714.0;11999.0;77;4.7;437;Бытовая техника и химия ТМ Gelberk;4.5;https://www.wildberries.ru/catalog/38650307/detail.aspx
